Scenario	Replication	[drivethrough1kitchen].Utilisation		[drivethrough2kitchen].Utilisation	
1	1	0.5316666666666666		0.9668197085833332	
1	2	0.4418623295		0.9600653060833334	
1	3	0.4675		0.9768003496666667	
1	4	0.5308809785833333		0.9923738208055555	
1	5	0.5445993666666666		0.9622375457777778	
1	6	0.5656709608611111		0.9535735820833332	
1	7	0.4766666666666667		0.9933333333333333	
1	8	0.4797820220555555		0.9869293648888888	
1	9	0.5316666666666666		0.9649064245833332	
1	10	0.48583333333333334		0.9861311393055554	
1	11	0.5041666666666667		0.9588652214444444	
1	12	0.495		0.9617404971944444	
1	13	0.47188067797222216		0.9907755931111111	
1	14	0.4777810728055555		0.9642256802777779	
1	15	0.48113848374999996		0.987602846861111	
1	16	0.495		0.9709741386111111	
1	17	0.4675		0.9880559852222222	
1	18	0.5143066032777778		0.9761550648888889	
1	19	0.5104241184166666		0.9859857922777777	
1	20	0.4987580655555555		0.9748793320277778	
1	21	0.495		0.9686670512222223	
1	22	0.48583333333333334		0.9933333333333333	
1	23	0.4983855445277777		0.9523254356111112	
1	24	0.5133333333333333		0.9797676591944443	
1	25	0.5225		0.9806927398055555	
1	26	0.4675		0.9821964614722222	
1	27	0.44916666666666666		0.9649824709166666	
1	28	0.4675		0.9799748773888888	
1	29	0.5198757666944444		0.9777060431388889	
1	30	0.5219106513055555		0.9580675550833332	
1		0.4971029991768518	0.010777042839989814	0.974671478473148	0.004703876277144067
