Scenario	Replication	[drivethrough1kitchen].Utilisation		[drivethrough2kitchen].Utilisation	
1	1	0.7835797735555555		0.675	
1	2	0.7317729541388889		0.6484975404166666	
1	3	0.775		0.6583333333333333	
1	4	0.8172759268333333		0.7181189374444443	
1	5	0.8152674645277778		0.7092874007222222	
1	6	0.8313187538333333		0.6775314311111111	
1	7	0.7924704707777778		0.7333333333333333	
1	8	0.7315744953055555		0.6702002074722222	
1	9	0.7851214743055556		0.6383592785833333	
1	10	0.7923140781666667		0.7023954628055555	
1	11	0.7833333333333333		0.6660513468333333	
1	12	0.8093078954722221		0.6825477123055556	
1	13	0.7426513929166666		0.749446733	
1	14	0.7548297274166667		0.675	
1	15	0.802652385111111		0.6458978877222221	
1	16	0.7794938542777777		0.75	
1	17	0.775		0.7042977025277777	
1	18	0.7754328120555555		0.6894468044444444	
1	19	0.8173523741666667		0.6833333333333333	
1	20	0.8		0.6432595622499999	
1	21	0.7877607809444443		0.6815602502777777	
1	22	0.7796252561111111		0.7472845063611111	
1	23	0.7767749584166667		0.625	
1	24	0.7944841421666666		0.6670779092499999	
1	25	0.7642042989166666		0.6916666666666667	
1	26	0.7833333333333333		0.67705223075	
1	27	0.7916666666666666		0.6780946340277777	
1	28	0.7661495684999999		0.6888595922777778	
1	29	0.7970126468055555		0.6709633093888889	
1	30	0.8083333333333333		0.6577753056388889	
1		0.7848364717129629	0.008992210200920588	0.6835224137425926	0.012065381452018497
